ParticipantID,ICB_ID,MC_ID,DistanceFromSubstation,ExpectedPhase,ActualPhase,EVDeliveryDate,LeaseEndDate,DecommissionDate,ParticipantExitDate,Location
ST1083,NULL,NULL,NULL,NULL,NULL,2014-06-25,2015-12-25,NULL,NULL,GU34
ST1084,NULL,NULL,NULL,NULL,NULL,2014-07-29,2016-01-29,NULL,NULL,LS29
ST1085,NULL,NULL,NULL,NULL,NULL,2014-07-30,2016-01-30,NULL,NULL,TF13
ST1086,NULL,NULL,NULL,NULL,NULL,2014-07-31,2016-01-31,NULL,NULL,WA4
ST1087,NULL,NULL,NULL,NULL,NULL,2014-07-25,2016-01-25,NULL,NULL,TA4
ST1090,NULL,NULL,NULL,NULL,NULL,2014-07-30,2016-01-30,NULL,NULL,RH12
ST1091,NULL,NULL,NULL,NULL,NULL,2014-08-21,2016-02-21,NULL,NULL,NN5
ST1092,NULL,NULL,NULL,NULL,NULL,2014-08-22,2016-02-22,NULL,NULL,PU19
ST1093,NULL,NULL,NULL,NULL,NULL,2014-07-25,2016-01-25,NULL,NULL,GL55
ST1094,NULL,NULL,NULL,NULL,NULL,2014-08-02,2016-02-02,NULL,NULL,S43
ST1095,NULL,NULL,NULL,NULL,NULL,2014-07-29,2016-01-29,NULL,NULL,RH15
ST1096,NULL,NULL,NULL,NULL,NULL,2014-06-26,2015-12-26,NULL,NULL,UB2
ST1097,NULL,NULL,NULL,NULL,NULL,2014-07-26,2016-01-26,NULL,NULL,LS28
ST1098,NULL,NULL,NULL,NULL,NULL,2014-08-07,2016-02-07,NULL,NULL,HG5
ST1099,NULL,NULL,NULL,NULL,NULL,2014-07-25,2016-01-25,NULL,NULL,DH65
ST1100,NULL,NULL,NULL,NULL,NULL,2014-07-26,2016-01-26,NULL,NULL,SL6
ST1101,NULL,NULL,NULL,NULL,NULL,2014-07-25,2016-01-25,NULL,NULL,SG5
ST1102,NULL,NULL,NULL,NULL,NULL,2014-08-15,2016-02-15,NULL,NULL,NE46
ST1103,NULL,NULL,NULL,NULL,NULL,2014-08-01,2016-02-01,NULL,NULL,LL30
ST1104,NULL,NULL,NULL,NULL,NULL,2014-08-08,2016-02-08,NULL,NULL,ME16
ST1105,NULL,NULL,NULL,NULL,NULL,2014-08-21,2016-02-21,NULL,NULL,HD9
ST1107,NULL,NULL,NULL,NULL,NULL,2014-08-15,2016-02-15,NULL,NULL,DG2
BL05,14553,14648,351,2,2,2014-09-17,2016-03-17,2015-10-22,NULL,SO43
ST1031,NULL,NULL,NULL,NULL,NULL,2014-09-19,2016-03-19,NULL,NULL,MK3
ST1088,NULL,NULL,NULL,NULL,NULL,2014-10-21,2016-04-21,NULL,NULL,GU21
ST1110,NULL,NULL,NULL,NULL,NULL,2014-10-23,2016-04-23,NULL,NULL,HD9
ST1108,NULL,NULL,NULL,NULL,NULL,2014-09-24,2016-03-24,NULL,NULL,HP9
ST1106,NULL,NULL,NULL,NULL,NULL,2014-09-17,2016-03-17,NULL,NULL,CV9
ST1073,NULL,NULL,NULL,NULL,NULL,2014-09-05,2016-03-05,NULL,NULL,LE11
ICBYH01,14633,14621,135,1,1,NULL,NULL,2015-09-25,NULL,NE5
ICBYH02,14526,14621,135,2,1,NULL,NULL,2015-09-25,NULL,NE5
ICBYH03,14512,14621,135,2,2,NULL,NULL,2015-09-25,NULL,NE5
ICBYH04,14501,14621,135,2,2,NULL,NULL,2015-09-25,NULL,NE5
ICBYH05,14639,14621,135,3,3,NULL,NULL,2015-09-25,NULL,NE5
ICBYH06,14627,14621,135,3,3,NULL,NULL,2015-09-25,NULL,NE5
ST1111,NULL,NULL,NULL,NULL,NULL,2014-10-23,2016-04-23,NULL,NULL,KT13
ST1112,NULL,NULL,NULL,NULL,NULL,2014-10-23,2016-04-23,NULL,NULL,RH13
ST1113,NULL,NULL,NULL,NULL,NULL,2014-10-23,2016-04-23,NULL,NULL,B94
ST1114,NULL,NULL,NULL,NULL,NULL,2014-10-23,2016-04-23,NULL,NULL,PO10
